LGY-587,10-09-2022,06:00,4518,43
JNU-341,10-09-2022,06:00,3409,44
OQH-128,10-09-2022,06:02,4311,46
BXX-805,10-09-2022,06:02,3004,40
JOL-371,10-09-2022,06:03,3758,47
YOB-517,10-09-2022,06:06,6093,27
SOD-788,10-09-2022,06:10,3388,45
HQV-257,10-09-2022,06:14,3937,42
PBU-707,10-09-2022,06:18,5634,26
HPF-707,10-09-2022,06:18,3328,40
QNL-118,10-09-2022,06:21,2769,47
REU-910,10-09-2022,06:23,4659,46
SPV-103,10-09-2022,06:26,5486,29
MDR-553,10-09-2022,06:29,4647,46
XCC-155,10-09-2022,06:31,5146,29
CZT-584,10-09-2022,06:34,4500,46
BBV-360,10-09-2022,06:37,3930,44
KRG-404,10-09-2022,06:38,3324,43
KZS-601,10-09-2022,06:40,4581,47
VTZ-685,10-09-2022,06:44,3745,45
LXS-770,10-09-2022,06:47,3803,40
WVN-479,10-09-2022,06:47,6109,26
HPV-421,10-09-2022,06:51,5729,26
ODY-064,10-09-2022,06:51,4084,41
YKR-554,10-09-2022,06:52,5106,32
KNK-374,10-09-2022,06:56,4111,46
HVJ-472,10-09-2022,06:59,6032,29
JST-498,10-09-2022,07:03,3785,45
AOU-757,10-09-2022,07:04,2867,45
SJG-216,10-09-2022,07:05,3717,42
RLY-863,10-09-2022,07:06,3827,43
ULZ-627,10-09-2022,07:06,5214,29
MDP-310,10-09-2022,07:10,4910,43
DLY-798,10-09-2022,07:10,5455,26
NXE-812,10-09-2022,07:10,4343,40
DQY-875,10-09-2022,07:11,4231,40
HIF-527,10-09-2022,07:12,4541,45
NWX-768,10-09-2022,07:16,4499,45
UKR-240,10-09-2022,07:19,5023,30
ELV-923,10-09-2022,07:20,4988,45
OTT-170,10-09-2022,07:24,3338,42
LCQ-851,10-09-2022,07:27,4371,44
OKZ-706,10-09-2022,07:28,4302,45
MWU-997,10-09-2022,07:32,4157,41
PJY-621,10-09-2022,07:34,4398,45
POW-618,10-09-2022,07:36,3670,47
RSN-829,10-09-2022,07:38,3393,41
NZF-171,10-09-2022,07:40,4137,42
YKY-815,10-09-2022,07:43,3135,46
EJV-455,10-09-2022,07:43,5911,30
UBC-566,10-09-2022,07:44,5170,29
MYE-229,10-09-2022,07:47,4749,46
PXN-095,10-09-2022,07:47,4204,45
NEZ-065,10-09-2022,07:50,3108,44
UEZ-579,10-09-2022,07:51,5209,26
FBZ-630,10-09-2022,07:54,4493,43
PSY-202,10-09-2022,07:57,4578,46
PFA-847,10-09-2022,08:01,5606,28
QDA-729,10-09-2022,08:05,3724,42
VVH-955,10-09-2022,08:08,6091,30
NXQ-294,10-09-2022,08:12,4345,46
CBL-841,10-09-2022,08:15,5900,26
QKQ-590,10-09-2022,08:17,3699,40
RHX-810,10-09-2022,08:19,4149,47
ORU-612,10-09-2022,08:21,3525,40
FIK-359,10-09-2022,08:24,6052,26
ATA-393,10-09-2022,08:28,5304,26
DWU-189,10-09-2022,08:32,3878,42
IIQ-457,10-09-2022,08:33,6299,28
CYG-641,10-09-2022,08:37,3395,46
LAG-534,10-09-2022,08:38,4583,43
ZWH-569,10-09-2022,08:42,4194,45
OYL-609,10-09-2022,08:42,4218,47
PED-030,10-09-2022,08:43,5280,25
FVK-313,10-09-2022,08:45,5202,31
QTA-420,10-09-2022,08:45,4523,47
ZCL-861,10-09-2022,08:48,4218,46
RKC-675,10-09-2022,08:52,4961,46
