NWL-535,10-09-2022,06:01,3641,45
CDA-936,10-09-2022,06:01,5098,25
HID-920,10-09-2022,06:03,3690,47
JMO-897,10-09-2022,06:06,3967,42
BLD-947,10-09-2022,06:09,3139,42
BYN-063,10-09-2022,06:11,4666,41
XPK-765,10-09-2022,06:12,5542,26
MPA-547,10-09-2022,06:16,2907,46
PKM-884,10-09-2022,06:19,3905,47
KUE-892,10-09-2022,06:20,3180,43
BUQ-871,10-09-2022,06:22,4719,44
WMD-061,10-09-2022,06:22,4633,43
MVT-771,10-09-2022,06:23,3884,47
NSN-365,10-09-2022,06:24,3402,40
AFA-939,10-09-2022,06:24,5576,28
SBC-385,10-09-2022,06:25,4872,43
BSA-810,10-09-2022,06:28,5034,29
CEH-631,10-09-2022,06:30,4724,40
MLN-857,10-09-2022,06:34,3479,43
XRJ-388,10-09-2022,06:37,5439,26
ACB-338,10-09-2022,06:38,4244,42
OEN-776,10-09-2022,06:42,5713,32
WDW-540,10-09-2022,06:42,3593,42
VKU-477,10-09-2022,06:42,3652,43
EWH-368,10-09-2022,06:42,5233,27
RDT-085,10-09-2022,06:42,4680,42
SPQ-628,10-09-2022,06:46,4199,40
GUW-990,10-09-2022,06:49,3544,43
LGD-403,10-09-2022,06:53,5380,29
BLN-805,10-09-2022,06:54,4050,44
UMO-267,10-09-2022,06:54,5435,27
TOK-299,10-09-2022,06:55,4052,43
WDV-215,10-09-2022,06:59,4820,40
XLM-758,10-09-2022,07:01,5634,27
AGM-961,10-09-2022,07:01,3876,44
CIB-529,10-09-2022,07:01,4440,41
MEY-091,10-09-2022,07:05,5568,28
IAJ-936,10-09-2022,07:05,5615,31
FMZ-517,10-09-2022,07:09,5074,27
UVS-226,10-09-2022,07:13,3363,44
ULY-888,10-09-2022,07:14,5061,25
HZR-804,10-09-2022,07:16,4614,41
GGK-790,10-09-2022,07:19,4896,41
ZUC-526,10-09-2022,07:19,4845,41
YKG-104,10-09-2022,07:22,2577,44
OOO-793,10-09-2022,07:26,2930,43
WPH-891,10-09-2022,07:26,2973,44
HDC-994,10-09-2022,07:26,4272,47
BMY-199,10-09-2022,07:28,4780,43
NSP-020,10-09-2022,07:29,4895,40
XQM-731,10-09-2022,07:30,3999,41
UDJ-406,10-09-2022,07:34,4171,40
BMW-606,10-09-2022,07:35,4410,40
YXY-070,10-09-2022,07:36,5211,26
VJE-645,10-09-2022,07:38,3002,47
UFT-451,10-09-2022,07:38,4920,40
GSI-467,10-09-2022,07:39,4609,45
DFL-853,10-09-2022,07:42,3831,45
XZT-874,10-09-2022,07:43,5329,28
KYH-843,10-09-2022,07:45,5674,31
QTP-993,10-09-2022,07:47,4467,47
BQC-021,10-09-2022,07:49,5136,30
UJJ-111,10-09-2022,07:51,5294,31
QVD-662,10-09-2022,07:52,4435,44
YAU-102,10-09-2022,07:54,4856,45
YGE-379,10-09-2022,07:56,5743,32
PIW-085,10-09-2022,07:59,3793,47
DUB-554,10-09-2022,08:03,5261,31
PQW-270,10-09-2022,08:06,4200,41
YDD-443,10-09-2022,08:10,3639,47
CZM-247,10-09-2022,08:11,3872,43
VTN-851,10-09-2022,08:11,3735,44
PLW-804,10-09-2022,08:12,4794,45
ZBK-150,10-09-2022,08:15,4488,46
NLT-076,10-09-2022,08:18,4773,45
DSO-508,10-09-2022,08:19,3374,44
RFW-427,10-09-2022,08:23,3823,40
QMR-700,10-09-2022,08:26,4273,42
LKO-524,10-09-2022,08:30,4841,46
CCN-223,10-09-2022,08:31,6071,29
YMQ-517,10-09-2022,08:31,4418,40
NYF-333,10-09-2022,08:33,5187,31
JEU-848,10-09-2022,08:34,3774,43
UTP-960,10-09-2022,08:35,3833,43
QSJ-314,10-09-2022,08:38,5915,28
XXV-122,10-09-2022,08:39,5225,28
EOG-137,10-09-2022,08:43,3762,43
GDI-175,10-09-2022,08:44,4729,42
IFP-241,10-09-2022,08:45,3972,44
FXS-736,10-09-2022,08:49,4786,43
